iter	Logloss
0	0.6885421485
1	0.6840739334
2	0.6791204486
3	0.6744687264
4	0.669252496
5	0.6649129767
6	0.6608937581
7	0.6565573174
8	0.6511306093
9	0.647417035
10	0.6432742738
11	0.6395035459
12	0.6356550518
13	0.6322095101
14	0.6279775385
15	0.6240523489
16	0.6211039225
17	0.6173016063
18	0.6128241556
19	0.6091149313
20	0.6059284545
21	0.6024896053
22	0.5993655021
23	0.5962857029
24	0.5931131463
25	0.590465211
26	0.5872188367
27	0.5848311039
28	0.5820525989
29	0.5788068269
30	0.5759513587
31	0.5728994671
32	0.5699252078
33	0.5670056259
34	0.564304151
35	0.5612974669
36	0.5585071162
37	0.555759363
38	0.5532923247
39	0.5500589337
40	0.547172011
41	0.544918328
42	0.5418725599
43	0.5394495914
44	0.5373525452
45	0.5345731702
46	0.5326740867
47	0.5303419347
48	0.5279525623
49	0.5256343306
50	0.5238379428
51	0.5222902465
52	0.5205641629
53	0.5183689385
54	0.5159307112
55	0.5133841665
56	0.5118748849
57	0.5098370335
58	0.5078021267
59	0.5059399521
60	0.5040273499
61	0.5022166068
62	0.5001292982
63	0.4986021812
64	0.4961809526
65	0.493998812
66	0.491996899
67	0.4907790067
68	0.4893148322
69	0.4877493674
70	0.4858581811
71	0.4842352282
72	0.4825745633
73	0.4808430253
74	0.4793097513
75	0.4771311911
76	0.4756400125
77	0.4741952461
78	0.4728067632
79	0.471485941
80	0.4699392151
81	0.4689843027
82	0.4673534193
83	0.465730366
84	0.4642270406
85	0.4632434176
86	0.4618547005
87	0.4606728135
88	0.4596786164
89	0.4583688033
90	0.4571785174
91	0.4558783079
92	0.4545870329
93	0.453467185
94	0.4522793084
95	0.4513214178
96	0.4504579578
97	0.4494819641
98	0.4481980173
99	0.4471075493
100	0.4464068496
101	0.4449306957
102	0.4441955633
103	0.4431099139
104	0.441750242
105	0.4406495345
106	0.4397861414
107	0.438831664
108	0.4378917761
109	0.4366278732
110	0.4355664504
111	0.4346387763
112	0.4337509557
113	0.4327840303
114	0.4320176108
115	0.430323149
116	0.429054461
117	0.4282596655
118	0.427781356
119	0.4266532429
120	0.4254531526
121	0.4245395995
122	0.4237497564
123	0.4228427619
124	0.4216957762
125	0.4206772185
126	0.4197834082
127	0.4187639805
128	0.4176049483
129	0.4166294232
130	0.4159208264
131	0.4151450709
132	0.4143263164
133	0.4136645668
134	0.4128180052
135	0.4120487414
136	0.4112080691
137	0.4103974459
138	0.4097218095
139	0.4088180944
140	0.407459694
141	0.4068397388
142	0.4059385668
143	0.4051743223
144	0.4045246526
145	0.4038964656
146	0.4032221677
147	0.4025218361
148	0.4015933924
149	0.4008290475
150	0.4001044558
151	0.3995200709
152	0.3988755879
153	0.3979502561
154	0.3973447231
155	0.3967052928
156	0.3958775035
157	0.3952633038
158	0.394468341
159	0.3938905482
160	0.393260822
161	0.392610918
162	0.3920439001
163	0.3914086861
164	0.3909457023
165	0.3901423069
166	0.3896868187
167	0.3889911384
168	0.3883897882
169	0.3878113596
170	0.387136794
171	0.3866417199
172	0.3857253894
173	0.3851296944
174	0.3844685471
175	0.3837986327
176	0.383166263
177	0.3823239176
178	0.3817192211
179	0.3811926591
180	0.3805486445
181	0.3796882629
182	0.3791550084
183	0.3786740219
184	0.3779998579
185	0.3772553561
186	0.376610873
187	0.376332534
188	0.3756934383
189	0.3753151475
190	0.3747075399
191	0.3741842571
192	0.3734492921
193	0.3728701274
194	0.3723846569
195	0.371793245
196	0.3713775099
197	0.3707221851
198	0.3702797471
199	0.3697911313
200	0.3692495112
201	0.3685665465
202	0.3680498224
203	0.3676326819
204	0.3669357969
205	0.3662881349
206	0.3656997681
207	0.3653244554
208	0.3648210492
209	0.364152741
210	0.3636787816
211	0.3630284761
212	0.3625991554
213	0.3621714073
214	0.3616717155
215	0.3612157253
216	0.3607182754
217	0.3601737775
218	0.3596238253
219	0.3592629684
220	0.3585705004
221	0.357914841
222	0.3573981837
223	0.3568702832
