iter	Passed	Remaining
0	219	219716
1	225	112468
2	228	76000
3	231	57706
4	234	46697
5	237	39353
6	240	34114
7	243	30255
8	250	27580
9	254	25160
10	257	23150
11	260	21441
12	263	20003
13	267	18813
14	271	17802
15	275	16935
16	278	16125
17	282	15388
18	286	14793
19	291	14297
20	295	13784
21	298	13287
22	301	12826
23	305	12407
24	308	12029
25	311	11668
26	314	11331
27	317	11023
28	320	10735
29	323	10465
30	326	10211
31	329	9973
32	332	9746
33	335	9533
34	338	9328
35	341	9132
36	343	8945
37	346	8768
38	349	8608
39	352	8454
40	355	8309
41	358	8169
42	361	8036
43	363	7907
44	366	7780
45	369	7658
46	371	7541
47	374	7430
48	377	7322
49	380	7231
50	383	7142
51	387	7063
52	390	6975
53	393	6889
54	396	6804
55	398	6723
56	401	6647
57	404	6575
58	407	6506
59	411	6440
60	414	6376
61	417	6314
62	420	6254
63	423	6195
64	426	6139
65	430	6085
66	433	6031
67	436	5979
68	439	5928
69	442	5879
70	445	5829
71	448	5781
72	451	5736
73	454	5692
74	458	5649
75	461	5606
76	464	5562
77	467	5522
78	470	5487
79	473	5446
80	476	5406
81	479	5367
82	482	5330
83	485	5295
84	488	5259
85	491	5225
86	494	5190
87	497	5160
88	501	5129
89	504	5096
90	507	5065
91	510	5034
92	513	5004
93	516	4979
94	519	4949
95	522	4920
96	525	4891
97	528	4862
98	531	4837
99	534	4811
100	537	4785
101	540	4759
102	543	4733
103	546	4711
104	550	4689
105	553	4665
106	556	4640
107	559	4617
108	561	4592
109	564	4570
110	567	4546
111	570	4522
112	573	4499
113	576	4477
114	578	4454
115	581	4432
116	584	4410
117	587	4389
118	590	4369
119	592	4348
120	595	4329
121	599	4312
122	601	4291
123	604	4271
124	607	4252
125	610	4233
126	613	4214
127	615	4195
128	618	4177
129	621	4158
130	624	4140
131	626	4122
132	629	4104
133	632	4087
134	635	4069
135	637	4052
136	640	4035
137	643	4018
138	646	4002
139	648	3986
140	651	3970
141	654	3954
142	657	3938
143	659	3923
144	662	3908
145	665	3893
146	668	3878
147	671	3863
148	673	3848
149	676	3834
150	679	3820
151	682	3806
152	685	3792
153	687	3778
154	690	3764
155	693	3750
156	696	3738
157	698	3725
158	701	3712
159	704	3698
